full_name,sha
# 325 successfully-configured Python repos from kinesiatricssxilm14/Repo2Run
# (success_dockerfile/<owner>/<repo>/sha.txt). Source paper: arXiv:2502.13681.
6abd/horus,c1d093e2090fc3817c924fc3ebae8c483744b7c5
AIR-Bench/AIR-Bench,4b27b8a8f2047a963805fcf6fb9d74be51ec440c
Adibvafa/CodonTransformer,2842ef05444d6901cb4034aab1b3153db3ee4926
AdityaNG/kan-gpt,0c6e4c2582d9a0e23c612c3b695846d4caceac1c
Admyral-Security/admyral,de332e2dd7d1deb536d859b7ad7bf74f64ab7e93
AlibabaPAI/llumnix,b319b23a197cc25e5e9a740c574c46be17fe9743
All-Hands-AI/OpenHands,246107c618833fcf62e44f2ea67aa08c222906cb
AnswerDotAI/byaldi,4583c0732fac06cca5624c53a539a7785d226ce8
AnswerDotAI/rerankers,ecd1f62949ec8aaffedeaaa89928e702dce2d148
AuvaLab/itext2kg,941a1d1273831ca2e84930e6e5d8eb1117448f52
Azure/co-op-translator,a4709e4ad3ca224f3b319d62b2c8e63cd5b30e34
Azure-Samples/rag-postgres-openai-python,61bde71a40ae76baa1445129a709d972f126f205
BMPixel/moffee,0e643d92cc1324fc7c8a924ee808e374fc662a1b
Benexl/FastAnime,677f4690fab4651163d0330786672cf1ba1351bf
Blealtan/efficient-kan,7b6ce1c87f18c8bc90c208f6b494042344216b11
Codium-ai/AlphaCodium,eb7577dbe998ae7e55696264591ac3c5dde75638
Codium-ai/cover-agent,5c4b8878943df9a85d5d71b43d294e299b564110
Comfy-Org/comfy-cli,7711db0e0ccca10fe980c588e4d41696a63a7efa
CompEpigen/figeno,14b904ae291728ca12780fcf8205212b9681dad0
D-Star-AI/dsRAG,2d5431aa9ae2b64279dc38f429e0a0d48c53bdef
D4Vinci/Scrapling,012820c6350282099219a5320196f46895f59c5a
DS4SD/docling,aee9c0b324a07190ad03ad3a6266e76c465d4cdf
DataformerAI/dataformer,0cf88cc22a20a6d5d115773ae9aac8970d7812e3
EleutherAI/sae,0483b52e0e2bf17daa1bf27da19f6482f47a7823
Emerging-AI/ENOVA,b3661d06064ba1a46417f24c9e8ee8dec7e2fa03
EnhancedJax/Bagels,d72d7fb5442f2b478741f1125a706fc9e3ad999e
FalkorDB/GraphRAG-SDK,250ebec4c7d052248d27ca8c31f369c59a40ff78
Genentech/gReLU,efd30819a894c10d7dfda2a111f85825240d52c9
GigaxGames/gigax,c3c209de6290f9f3f2f9395625bb2e8094122531
HanaokaYuzu/Gemini-API,e8a2d232131b15a094a859827cc9a6278b2e4494
IAAR-Shanghai/Grimoire,3fe89d2c9622fd6ef71a964a4a40aa11e2b069db
IBM/fastfit,3966113090ec7e8732be3bb48ca6b775d6c203c9
IBM/terratorch,16e5af99b4b8ddb830ef1c6c3184916d3a74d107
IST-DASLab/PanzaMail,b1807c814a4877daba040e09239849e7513135fb
Integuru-AI/Integuru,928e8285b5d6204dd30dec8fc7a56aabb53ba2a1
InternLM/InternEvo,5ad2eb02fb5be2196e505600fef459185070d1e3
IvanDrokin/torch-conv-kan,7a0e83c3b55981e530dc83ad44ecc4d24beb5d20
JosephBARBIERDARNAL/pypalettes,826930e1162dade99f31582af0cb00cc0d0e4261
JoshuaC215/agent-service-toolkit,c72f48827240cb71e066f28cad03d34ad6fac300
KyanChen/RSMamba,3fa3056316f1412851e484384e9f206e0a11bf2b
LMCache/LMCache,7d344359cdcdcb955924c77afe4a0d2fbe050fc6
Lightning-AI/litdata,0a97def7eaaa8c38072da62e470cde8dfb7d3932
LilianHollard/LeYOLO,872841b15fd5ee3296a9c844bcbfb8d0b9745cee
LlmKira/fast-langdetect,5728ba917383c45a08c8ac1cdab255c7c546435c
LucasFaudman/apkscan,3b3e622196e07566e630e3ad6687dc7574edf51b
MadcowD/ell,36ca5eea1a5d4c266071d6a50848ad154034c44d
ManiMozaffar/aioclock,3d196b2642f84acdbbdca6d383f62067b33e4a9d
McGill-NLP/weblinx,6f2014f025de764deba3442a52db0dc43fb784d0
McGill-NLP/webllama,696a7c3664fe6610b411a16d27010055874e2714
Menghuan1918/pdfdeal,e081998afbc26c51f175e09882075c8e82316dc7
MinishLab/model2vec,4e3fba3a44702c523c68ad7bd0b49fb0367909c8
NVIDIA/Megatron-Energon,28aa3b79f4746968c76bc2e75c8a828c73e062c5
NVIDIA/NeMo-Skills,5591f399b3263d349c6f5f5d7d635c3fb0b744e6
NVIDIA/kvpress,715f8a7aae07a57b430aae8f869ac5a4c5bc48dd
NVIDIA/logits-processor-zoo,db179ad1035b37d98b8b3edae6e27aea2c05bfb0
NVlabs/Sana,41dcbe92671682216d357c385c0d3d7dab0e8e55
NVlabs/nvTorchCam,cc27be07a2e19972c43a3342571eb86f39135a6b
NewT123-WM/tnlearn,50ee7596d2f77f0001d7d7c4a75e9d25528dbb63
Nike-Inc/koheesio,9bd29ec553cc6306520926a89d5e6405641b5994
NousResearch/finetuning-subnet,e2f5eb6373a417fc7c03e38adbc6cf145670ab58
Open-Wine-Components/umu-launcher,b0c0d44e0e533b42790360d30430a69b330849d6
OpenInterpreter/aifs,3f74c6aaf6b1a190d99e7ab16d78163afbf1b1ca
OpenNLPLab/lightning-attention,d7439519541e966084eeaaf3ffd63eecc216f414
OwlAIProject/Owl,91922655c3cbf0e5f3282c22806b5ac0cf30063e
PacktPublishing/LLM-Engineers-Handbook,ec6717fd3ef78c5b5f0efcfc207679436417bc0c
PeiJieSun/NESCL,365d20d163024dfae5271da59a42b9ca074ace43
PrefectHQ/ControlFlow,f259fa8144ed31b8bde5902a2de8548dd4601ce5
PrimeIntellect-ai/prime,a974cf5b66733dc7dc685e92f91377e51dcb2bf7
RapidAI/RapidDoc,5e5fef5e7d02bb646111e063e041566318596c50
RapidAI/RapidLayout,8e9677386ecec315c466e840c0b654f7eab85b69
RealOrangeOne/django-tasks,e6d26ca2a233e86681b87c357d30af39f648dd9c
Realiserad/fish-ai,f32c7f2eb75753c750ea264286b01fa26904c95b
ScrapeGraphAI/Scrapegraph-ai,bae92b0dcca353c137f8cdb12ef95b3bc2cd962a
ServerlessLLM/ServerlessLLM,8f1e6b696e9bc2bdc6c4ca00752a0e4502746060
ServiceNow/BrowserGym,c9aa9b134534f90b918517f065e5fb6ced398494
ServiceNow/TapeAgents,3eca5cc8841d64c5db80cadf0d8570bbdc579de2
ShoggothAI/motleycrew,19837e76c89f1e96707dbe2c334360682c47b890
SpecterOps/cred1py,432f9107b8ac501a743b487de182e3ba0bd3023f
StacklokLabs/promptwright,42f69b0055f575bfacd245ccffe6030657141f58
StonyBrookNLP/appworld,bc9c477c253beb2f410eff1a857444be9d5ae689
THU-MIG/yolov10,6fbaf42b23f6709f4e34a51430587673e70e151d
TY-Cheng/torchvinecopulib,c3a477620259d238e6f8668e321063994c0832b2
Toloka/dbt-af,e7f436341f989bcdb070e2cbe76d61ed7d87f0f2
TorchJD/torchjd,1eaafee3cf386ac17198b7864a8146d5d803e0be
TuragaLab/flybody,2e108868e777aeb9faa89ed107716b23079014c7
Vashkatsi/deply,6d6875f01267fa99cfacf96706e160248ba2b82a
WU-CVGL/BAD-Gaussians,bdd8b3e2ba068aa7be8e3ab6fb5277abd40909bc
Weixiang-Sun/Bora,c08bb69db6752031d6b6e24757bc9b054ecf1d1c
WongKinYiu/YOLO,b96c8eaec16cfcabbf79947d98d2c575f0a114ad
ZenGuard-AI/fast-llm-security-guardrails,6a867c1eebd8eb5579728385e9ae317af480a256
a-r-r-o-w/cogvideox-factory,80d1150a0e233a1b2b98dd0367c06276989d049c
a-s-g93/neo4j-runway,16b44177d434465f7fbeef59273444c963343726
adamobeng/wddbfs,5c68aabf647c313df7eb8c0371a5f9c3e88f7c03
aidatatools/ollama-benchmark,c6a5fded472370f35a158258e79f06d36313ffb1
airbytehq/PyAirbyte,7e65ab3cfab39c04e6f0ece7cbc83367b7acb4a9
airtai/fastagency,1ff50361fff7665bd9c229a90aa1541ff243f667
alexmolas/microsearch,632ff20749f30b972df84a4ef544b751a18155d5
alexwlchan/safari-webarchiver,0e4974d4af6ab28da9178b02f4a5067855ddf91d
amchii/tg-signer,926dbb8d58a40a44e75e5f0543fef68c4b833b44
andrewyng/aisuite,763996153e3c6068465bd73a367a20f6ca79cefc
andrewyng/translation-agent,e0fc605acbb5d78cb7a58a98bc8bd8f0056df49c
antgroup/agentUniverse,ed8f55b52b65f8da539f87593e5448258658038a
apify/crawlee-python,26706353843d0db739bc1045963a3e425c2168e5
apple/ToolSandbox,1a1dc83bd84948f0a3d3ace0e59923fc760c111b
apple/ml-cross-entropy,9c297c905f55b73594b5d650722d1e78183b77bd
apple/ml-mdm,9a5632cffc74a7c72075611fb99aca9816291db1
arcee-ai/fastmlx,fd37bc8f8400ce98baf601dcc9b66e14f2618382
argmaxinc/whisperkittools,03898fd293c694fc7a4c3c75d08b65d480ce2381
arvindrajan92/DTrOCR,a10aa009efae6336372bf3cb0c87cdc303cddf74
astramind-ai/Auralis,c357a1e5cb0aa816f7e63b1697957b8821f10bd3
awslabs/agent-evaluation,3df69508f44cd77a7714be1649fe3dfe0d000ae2
bananaml/fructose,5f24ec0f773170d5f55fe520fa7436f69b1a4f65
basf/MolPipeline,2f9baee03f82408991362f0719ff22ff9e4e2524
basf/mamba-tabular,af1ea08a608cfbe945d33a22be4e2c63cbab311c
beatzxbt/mm-toolbox,728e35dba7f13e5f9f349a4c7851faca98fff4ec
bellingcat/ShadowFinder,578d5ac6d14341d04be35fc3c3665dc9b5e7e665
betaacid/FastAPI-Reference-App,8caecad9d944a532a6e30bd9435bca9e978bd83c
bhavnicksm/chonkie,990493550d4d16a95d3a5e20944d393cda591969
bigcode-project/bigcodebench,aa634d5d4a067c979582ba6f28e2bcb588fd4246
block/goose,c497a5555848d053dd8b486bce1371ba6d01d06c
boheumd/MA-LMM,ffe9fa9e89757e4433012029f19286c3c280ab1d
bytewiz3/TravelGPT,b19b43095fd0343d7a0d045f59ec869c8b1fda33
cfahlgren1/observers,d46fdbfbb185f612de1a86f18c2941c6d79d38a6
chaidiscovery/chai-lab,b6e7fa1a9135acc2ce6f4a5dfdd6fe435a3b216f
character-ai/prompt-poet,4664320754eb7789f69820ce6bd8108279524a44
cheahjs/palworld-save-tools,7dc2c72a5d15948ca5f52e000981e18b3404e3b9
chernyadev/bigym,72d305437d5a13800ea633479a1060619fc14e54
chrschy/fact-finder,ca57d1b9e3683d026ae52c3662b016781d26cc97
circlemind-ai/fast-graphrag,447511679aeb68d06558b63ba8c434e56caaefce
cloudflare/cloudflare-python,22847982359f4a7d0170e69e686049e53714131e
codeintegrity-ai/mutahunter,f889227782892724393f416ced724497ca72aae6
codematrixer/hmdriver2,c0d07532fd1dd878f83f95a4d543a9281cc344ad
codeskyblue/tidevice3,d83c345b2c5216c82baafb8e3c09574f8020ff00
codeskyblue/uiautodev,eb8577b48bcf3dc524ccbdfc4bc7b0f0ba3e4862
cosmic-cortex/mlfz,5bf8d2ada262f95ab165f023cd7f8ba5a97f880c
cremebrule/digital-cousins,49400bb4aca50eea97490c9c9f1b4431e50792dd
crewAIInc/crewAI-tools,8739359d3153823df656228dc287914ceae513fc
cvg/nerf-on-the-go,3659e7c3b5e71fb07be89980b99ef72526fb7099
dai-motoki/zoltraak,4dce44df3fb2cd24822aecea941d15bd914c6374
darrenburns/posting,94feabc232da078c8cc9194e5259c3cd2206cfbb
daxa-ai/pebblo,e67b01121b7140ae6448941fb10c2f257515d1b0
daya0576/beaverhabits,c012577267047527362cfc0c9cfc17003b9212af
dbos-inc/dbos-transact-py,d6c6ac62b317f123e52bdc361aeffd73a6ac65cc
deepsense-ai/db-ally,26033f72ab217e7ea20306081453b3414f841189
dendrite-systems/dendrite-python-sdk,27c9dab6baae53aabf65cf57615b6162397c64b2
dingo-actual/infini-transformer,08d0a128710cd37da3e7be15f00ec683716aea0f
discord/access,19e9b1d5d295467c98f6a13fe43e4cdb5d7dfdd1
dleemiller/WordLlama,e38d4760a7e974d02d2556148d95b9053555d82d
dottxt-ai/prompts,3d2689ad7c388af3ab603aa374a51ca66d9eb915
dreadnode/rigging,1d12095c611d0f7c42230143d42723f80294282f
dynamiq-ai/dynamiq,6cca1ca29ebfe9517e61ddd7f2b54268ee025829
eakmanrq/sqlframe,61fda5dde52a8615019c863d76484cb2615ab0be
emcf/thepipe,02e397710bfae10a5b764c2b455d0d3697cb2376
epic-open-source/seismometer,b3e812fdc7ea475de9991bedc493897d0215659a
epistoteles/TensorHue,1564fa78a8313586c981204145fd71fb501bbfae
epogrebnyak/justpath,0aca516bba87253e19e8dc09ca17685e749c6a4f
erezsh/reladiff,d8683b232fe6b0ae2930c386c02cb43dd71bbff9
etianen/logot,54e5ef74a31ae7447a97621af8deda5489e2c4fa
explosion/spacy-layout,470c6dba7f1f8a1e52eb43f9925764cad1b1de1a
facebookresearch/audioseal,ea10f5da2bb4431a4efee9452ed35db6ffaf83cf
facebookresearch/lightplane,34fe6c6392028b2993613d4ceeeeec2abadbc1c9
facebookresearch/spiritlm,52fb2f4d585811450f192732a1c81760208b9fd0
fastapi/fastapi-cli,bc08401cf9c030dff0070dd9b944bf9f13bfd225
felafax/felafax,34a4758ad2329f97ebc6d4e60cd7b85be7b98e34
filipstrand/mflux,627398f531b10f447406377355aad8f1665c6805
foundation-model-stack/fms-fsdp,408c7516d69ea9b6bcd4c0f5efab26c0f64b3c2d
fpgmaas/cookiecutter-uv,90de47109fdfc8406847e4033a351a0118a4f7cd
frdel/agent-zero,3cefa150c36f6872bd9e78bb1e35aaeff38bc7be
frostming/tetos,106ea5cff843fddda0ee3ea0f6e0d41a2233c523
genomoncology/FuzzTypes,d962438ef706d189a0bf18b4b4129a72dee436c5
getludic/ludic,a6db96340602a4bd8a507e70d3e8321b1a1bcde1
getzep/graphiti,9f3dd5552a611b7c329e3c1c7d1254102ad2e40a
gojasper/flash-diffusion,48e3bcd654d98be3891e1e02cf215ae6218f924b
gomate-community/TrustRAG,1334c44a05a32ccc3fcd0eb9f1111eee05c65da6
gomate-community/rageval,01e2580efe714b3130602e02a7e7b017d16d79a2
google-deepmind/nanodo,10aefdeed40a63293daf112b91a5538cd24fa3a4
google-deepmind/penzai,fda6cd1e6883348ce7ff705d78149bc19631e93a
google-deepmind/treescope,dac18b2ace0badf70b6fb887170bed4c6424bf06
google-research/timesfm,02bc2f2212887b2e3915b934b7af3347701bcf29
goombalab/hydra,b6b9b799541826755f6f9edcc645afc2438e9ea0
gpustack/gpustack,3102d653f4829f6ce8468fb2d80eb54387dba26a
gregpr07/browser-use,5e545d7242762b1bcc014aaabe641e72c161f6f8
groq/groq-python,fa2e13b5747d18aeb478700f1e5426af2fd087a1
gusye1234/nano-graphrag,18fa3a4f23a1befb11f2d8f1d37df28671d6243e
hailo-ai/hailo-rpi5-examples,82cfc8f61508e7d4ae733e3df7c8b93fa3c51ed6
hinthornw/trustcall,eaaaad1f8dfc1eba22cede42b3a9bf8be99ec9d0
hngprojects/hng_boilerplate_python_fastapi_web,bc974027781b29b0dcee8d0cabaf00115fc620eb
hrnoh24/stream-vc,faa629f54dfd518702fb0d78018340b87fdebbd1
huchenlei/ComfyUI_omost,7ef00dd99450bd5e95b5e8da1524df98655cbc01
huggingface/lerobot,4c41f6fcc624e1e495daf1d319034148df3f6793
huggingface/lighteval,6ad7276e07efb3b383e6da42019f3e729c45a8e8
ib-api-reloaded/ib_async,38cf54a66a4daefbd3fd1d7476381f0d178a8198
igorbenav/SQLModel-boilerplate,2ead0414113a4f5b2b28183cef427c4e5b864284
igorbenav/fastcrud,dc831b113302909db17dc61982cf217fb34005f3
igrek51/wat,0d60790bc232b20514f8096f157423c6117c51a2
illuin-tech/colpali,e45c4cc180ccfebd178997b34a569c8293b8bb8c
illuin-tech/vidore-benchmark,469665d6286f04a4ae09ed7c31dc66dfb44e727a
instanseg/instanseg,0df8b263109b47b106900aef4b2ceca0129ffbb4
instructlab/instructlab,c978b2928c767cd14b221a965bdb5864c128d05c
invariantlabs-ai/invariant,81547a0d78a13951a6e415b9cd839d0ab68c6645
iterative/datachain,b67d599df627b47feec2bc7a30938e0f1a602edb
jahwag/ClaudeSync,0006331542ed35956bfb80c50bd6f3b141348d9a
jgravelle/pocketgroq,e995c4146b88e21a9e8a45aa45b11c3e30239685
jhj0517/AdvancedLivePortrait-WebUI,a7975cac39e3ab2573f52629df56a0f4d7521ecd
jina-ai/late-chunking,db558c313a63a6b6f575281be9a3a87ad0fc1d4b
jlowin/fastmcp,baa30086dad60a7dd530faee809d36d6ff7f5fa4
jmschrei/tangermeme,a96897f3c78281d1f83ab0d4f3011af57aef4b32
jonbarron/camp_zipnerf,8e6d57e3aee34235faf3ef99decca0994efe66c9
jshuadvd/LongRoPE,eb9abaaf5fe57eb94025d568d63d3c49d9cba746
jxnl/n-levels-of-rag,2ce1106b0163d11fcf7959187b42f0d3a67fbe05
karpathy/minbpe,1acefe89412b20245db5a22d2a02001e547dc602
kennethreitz/simplemind,39b5a5e19d536dcccb28df5ba245708884df74e5
kevinzakka/mink,cf1a302ff31b1f620abecdcbdebfd2c42d125a54
knowsuchagency/promptic,a1930cdb8e8d1a595a7f554ec16867f8ea1324da
koaning/uvtrick,2d7f279fd9915d981d4dda28c4361d6241134055
kotaro-kinoshita/yomitoku,71c85bc77a5ed238f382f51adeb208ecef4cefb4
langchain-ai/langchain-postgres,064e5b9506da5f18cb1ccfdcca8ee54f2a089524
lavague-ai/LaVague,b3557f8f350037e42acec5614135894796432c2c
lenML/Speech-AI-Forge,0b31b2238d994d07f54723f4f2dce4afb0fcdc44
leopiney/neuralnoise,c0313feb10b4474ed4418d2aeef24b48649c641b
line/lighthouse,ba9da7228c2221f3c14ce3bbec0aa70bfd12d31c
lmstudio-ai/venvstacks,235ce3b5ff2c323a6139d3a8ef66ad735dfcd69b
lucasdelimanogueira/PyNorch,ed391e740c41806bf8e34265b8b1572b8f34d372
lucidrains/alphafold3-pytorch,49f7c967e8586b9f57bdb95e82068fabda815689
lucidrains/infini-transformer-pytorch,5774bb32033c6794c8ced1905fa9d0c8a1adb025
lucidrains/pi-zero-pytorch,6716ce2f79c6eaad5f863b271f7d5ba3068af9d6
lucidrains/titok-pytorch,2f95258f27797f142df0d5dc2388e034285ab7e5
lucidrains/transfusion-pytorch,16f73e17aa5deeec044f3bdc1f7d3686528da4d2
martius-lab/hitchhiking-rotations,45b49f68dd900b9c9bbc5ba98a14519c7f571484
mbodiai/embodied-agents,8715f674f16715f251f11538c183de44cf65b336
meta-llama/llama-stack-apps,f14a73c76a9e4de3f7fd5ae5d13c231bd70ec2ce
microsoft/TinyTroupe,9b8d4e9e02bfd98ece7cee2eddaf1bc5440c8c3e
microsoft/Trace,826cf5e756001f893989e3a3ad06a8a307fcf170
microsoft/aurora,8b11659b91d06f87c2d22e541dbcd0092baf2157
microsoft/graphrag,5ff2d3c76d2d08797d3337bbe5278c165324f441
microsoft/semantic-link-labs,8e37efd7333f43e78d3a0fc330155d4abc857567
mikekelly/AgentK,e9ec892bddeb0b9afd77fbb130f0a89c5b715cb7
miquido/draive,270f0ce1375dade2e9a54dfa4c48a7155e3bb310
mistralai/mistral-common,5cac5e1c05d9e6782bec49310e43f294649bc1e2
mistralai/mistral-finetune,656df1c94c80ca9703ebc471c9f106c9b7a0bfa7
mixedbread-ai/baguetter,a6e9156613bef9f42b08e2ca3069a818284b60ba
mkjt2/lockbox,58430d96d20afaa52f67e72cddd80ef56b79e7f8
mlecauchois/micrograd-cuda,ab1ca09e61c9c311fab96cbfaf52c15769e9c36f
modelcontextprotocol/python-sdk,aaf32b530738ff79ba607c2884374243350f521c
modelscope/MemoryScope,330b7660c93f2ce9402946141192e91031b7aae0
modelscope/agentscope,ceaf899339ce6ad421a4b5df85e009ae4738d5e5
modern-python/that-depends,65e6569d69e97e7c3edecde0d817df0b77b1af8e
muchdogesec/history4feed,61418241d9ab88d774bc0e57a7cd7f4e7b247810
muditbhargava66/PyxLSTM,f3c9bb80ac62f1b19bf196ab9b8045f33e8f849a
narwhals-dev/narwhals,a2088f495a4725a1901b03621cc59a831af4c656
nasa-jpl/rosa,5471dc2d2b942bdfeab79e5e5fd56f7a98c4c966
neo4j/neo4j-graphrag-python,bc6dd9c7b3f8fcfffb9ed360648ea80c6cbb17dc
neuralmagic/AutoFP8,e9446102c6a9ccf148e1ba661185c60056e3ce80
neuralmagic/guidellm,ecf2984645202eea022cc7c9f245947e2dd5457d
nicobrenner/commandjobs,4c72648b6858e85734c02a3c33b08c0f09ef1061
nlmatics/nlm-ingestor,c725429dbf46d6e633965ccbc4c24c14c97c6efc
ogkalu2/comic-translate,1933d1ff3057d0852b08603aa973c62b9f559c74
openai/mle-bench,51ec2b6789a5df0f902537e5b066dd0f6b8a6c2f
openai/swarm,9db581cecaacea0d46a933d6453c312b034dbf47
opendatalab/MinerU,391a99860dba33a19abf6df90234bdcee554b32a
openfoundry-ai/model_manager,34f9ffc3e1962aa87ca088203535d8d0506b4e7b
opengeos/HyperCoast,c1604cb53f3b917941c4105a157e4a1f0cb1b109
openpsi-project/ReaLHF,62d9cdfb0715431f21455d2d9e0535e1c1980994
openrecall/openrecall,225a2750e3122718a9bad9c4d4ba4b0e99985c00
orbital-materials/orb-models,25157368a47faf424e76dc05217a6f0671810297
outspeed-ai/outspeed,049b40f38cf3e9716e980a2959cd0fd530cc7c99
paradigmxyz/spice,e962a9c435d2f990fe5684d6a876a8b13287f5ee
patched-codes/patchwork,c9b02b065780cb9f4b6c16a2d86a2a328ffd0fc5
paulrobello/parllama,421238aeca193420ca112a7d1daadcebd323e9a4
pomonam/kronfluence,884255f359e9b7d3d127f94c076901a838d63b09
princeton-nlp/SWE-agent,8b35715665a3e996002886ca94c603e2850fad6b
proger/accelerated-scan,db7145f89a442ff0cef076d07f2ccc93c403b1c2
pydantic/logfire,3d79243b67ceb0b0adbdd1866609fb430947b8ba
pytorch-labs/LeanRL,a416e61058ffa2dfe571bfe1d69a7f62d622b503
reagento/dishka,e6d576017fdad07fa93cf863e4fdd2f48828a3c0
reka-ai/reka-vibe-eval,93ecd92fec87ebda5263affba744df40cc233609
remigenet/TKAN,8a1de0cfda6f0bd90a91e6793255a29ca80f5134
rio-labs/rio,eda40a731fb8a0ba6262fbee17eca3dcd4d5db4e
robusta-dev/holmesgpt,c4743a016866e2a216897518059d326e4d97aaa7
royreznik/rexi,f1dca8eaa984a27a4a81a78cffb76e1d3b9ba467
run-llama/llama_deploy,47efff882cffa9b662f5a78e3032f5a13ea7bc17
run-llama/llama_extract,89438fafbfc89288a1e2d21cefd854b5066484f2
run-llama/llama_parse,483b51c51c0dcae16fc24dd5c852e94ad0533380
shawntan/scattermoe,63b76a2f5f28c052fb4cd7c34479a54158354052
shun-liang/yt2doc,201ec2929d82abad470883fd3c34bcd667914858
siliconflow/BizyAir,cdb3bb86ab15216c78ad5c3097743c2a31582ab8
simonw/files-to-prompt,f9a4d8fa20aa978c3502c94de335b44e57ac0a61
simonw/llm-claude-3,c62bf247fa964ff350badf5424743ddca7601d4a
simonw/llm-cmd,74fb986ee939808362e7a73a71b2e0edadded1bc
simonw/llm-jq,beaada20d11dfc34618394c633bfa128a7c00a94
sirocco-ventures/raggenie,99dfe5bdc62ce47ab56f711da6b4eeb96e8dd6a5
souzatharsis/podcastfy,804a6188a74ab9cf088032f6e460a04ea968a97a
stephengpope/no-code-architects-toolkit,ffc1a82547dbc188c5fbe4adb08ab55957f63e9f
superlinear-ai/raglite,0c5b7b56dbe48781e51857366ed9c3f82604d7c0
swarmzero/swarmzero,6fcd7ac491aa76a8455e9079e7b012ba6a001fa6
tahnok/colmi_r02_client,84d3a6d9bd50cbac531d217ba1ff1cc7debe838d
taketwo/llm-ollama,dd616e755568e70457943c069ef197becd914cd9
taobojlen/django-zeal,232987c7ad3f33a1ad294fa2bd2dcb973e949cd2
tjmlabs/AgentRun,1997dd71d5350dd1e0c993cdd7060b3b9b765a8d
tobiasfshr/map4d,0b8bcd3302e9036eb74420d6730af8dc5556f6d7
tox-dev/tox-uv,d7405a6ed4f35d0ae525009cc1cd298fe2bc4bf4
ucbepic/docetl,8b3e1ce640d3ead04931d322cff4ea1047d3f860
ultrasev/llmproxy,1a1100aa098220b1de5c9716a8ce3aa253716aee
uname-n/deltabase,5eafb9d05316d005e2888cd1a1c71bf01e5f4e0f
vintasoftware/django-ai-assistant,5b26c73d55b18a9b3df2111d4bd6597dd67db0a0
virattt/financial-datasets,9856644262caab56cf174109924bba1d81330335
vllm-project/llm-compressor,606aab2b57eb0931f93976f6011f2b2869ebdc60
volcengine/verl,ed2eaf4e272efdbea195575319177b912e2a1a3f
volfpeter/fasthx,e850b9c61fa2c8868a0f7a4b2b567934c773eee8
volfpeter/htmy,0322a3996e87e8f3a29eca7d48099c069562c0d4
vysakh0/dravid,25b03bfcf5327be83be0a9721fb24ac7d7157eed
warmshao/FasterLivePortrait,6aa8104b03499ebe2a881c8fbaf55ff628235f4f
weareprestatech/hotpdf,55ab97231a46d072aa33d2dd7cb2927e2c0d4e42
whyhow-ai/knowledge-graph-studio,c41043506d095976b2d5b1c20dacf10cb8ad08bd
whyhow-ai/rule-based-retrieval,91701f45822823d6c54cac3b526e43cdb409e4e3
whyhow-ai/whyhow,63a3c6c18e660ac5c7268159956f62db3f15a0ae
wy-z/container-vm,07d40217758b4ab800237b2c8b8ac737aba51234
xdit-project/xDiT,a7bd51915fc0b31dd0fdca30adab1fea8c2b7354
xhluca/bm25s,c4fef24f0e05bd5b0152308095c3585d2f6c9aba
yihong0618/klingCreator,e567c6a16cbeaec0411ea90bda6a0d932d3ee2a8
yihong1120/Construction-Hazard-Detection,f5e1ca28d9999fd04c12a7ef30106b14410fa6db
yurujaja/pangaea-bench,e1d12ed1e0aac945f32c8bc78e99666869f277d4
zeroasiccorp/logik,ca4bb129056c0b70a31720aec190b4670f20f238
zipnn/zipnn,187f336b6790cc66d1248befa52066937d185afd
zou-group/textgrad,b2dc68e992ad876cfacdb8ebb7f73d8865a29544
